	htseq-count on data 343 and data 405	htseq-count on data 343 and data 417	htseq-count on data 343 and data 429	htseq-count on data 343 and data 411	htseq-count on data 343 and data 423	htseq-count on data 343 and data 435
ENST00000005260.9	87.1034821025691	81.2915560907364	118.34406836941	142.372169110604	188.50041875207	226.205018120827
ENST00000053468.4	4017.05422460303	4948.50667881081	3357.23436058483	7634.28717829304	6412.6047217371	5660.98568665075
ENST00000054666.11	1476.7999465572	1756.64512012166	1474.11032530317	2999.90491763762	2870.59209128153	2285.49111572856
ENST00000162749.7	261.310446307707	170.992583501204	234.61192501304	378.911757160506	430.858100004732	419.592727913244
ENST00000164133.7	60.1805876345023	63.5382277490814	77.8579397167169	223.087099630002	179.524208335305	207.452270504593
ENST00000173229.7	62.5561371463906	49.5224422161958	154.677773570544	226.450221734977	201.964734377218	266.054606805325
ENST00000182527.4	975.558999548775	708.264362261819	654.006693620422	1095.25676552016	1300.65288938929	1243.54157630154
ENST00000187762.7	831.442329160887	778.343289926247	545.005578017019	1540.30992407851	1429.01269834903	1073.59480102942
ENST00000206423.7	2.37554951188825	0.934385702192373	1.03810586288956	32.5101803480908	40.3929468754437	3.51614017804394
ENST00000209728.9	121.944874943597	125.207684093778	195.163902223237	303.8020301494	268.388691461281	278.947120791486
ENST00000217381.3	247.057149236378	230.793268441516	147.411032530317	456.263565574929	445.220036671557	328.173083284101
ENST00000219271.4	133.030772665742	99.0448844323915	208.659278440801	267.928727696334	329.426922295285	383.25927940679
ENST00000219439.9	418.888563929628	491.486879353188	455.728473808516	811.633468000611	701.939654591043	616.496577883705
ENST00000219473.11	285.857791263886	258.824839507287	243.954877779046	544.825781005935	515.234477922326	350.44197107838
ENST00000220659.11	140.949271038703	161.64872647928	265.755100899727	395.727367685381	367.127006045699	557.894241582972
ENST00000223095.5	6.33479869836867	11.2126284263085	20.7621172577912	32.5101803480908	59.2429887506507	44.5377755885566
ENST00000227880.8	34.0495430037316	18.6877140438475	37.3718110640241	69.5045235028148	78.0930306258577	50.3980092186299
ENST00000228515.6	148.075919574368	154.173640861742	227.345183972813	350.885739619049	348.276964170492	344.581737448307
ENST00000228928.12	60.1805876345023	43.9161280030415	115.229750780741	209.634611210103	247.743407502721	119.548766053494
ENST00000229769.3	2145.91305907239	2234.11621394196	1424.28124388448	4067.13566561632	3955.81593066845	4274.45440977542
ENST00000229812.8	1763.44958765838	1686.56619245723	1352.6519393451	3503.2521926822	3566.24839858084	3811.49595299963
ENST00000229903.5	59.3887377972062	80.3571703885441	44.638552104251	126.677599287388	141.824124584891	96.1078315332011
ENST00000230340.9	1133.92896700799	1016.6116439853	847.09438411788	1710.70811073057	1534.93198126686	1577.57489321572
ENST00000233143.6	10312.2604311069	13349.5685272224	12692.9203855506	24291.8309642338	18953.2682949998	16402.793930575
ENST00000237281.5	642.98206788442	612.957020638197	848.13248998077	1164.76128902298	1265.6456687639	1011.47632455064
ENST00000242208.5	0.791849837296083	0	1.03810586288956	29.1470582431159	26.9286312502958	18.7527476162344
ENST00000243349.13	0	0	1.03810586288956	8.96832561326642	10.7714525001183	5.86023363007324
ENST00000244496.6	1814.12797724533	2065.92678754734	2027.42075022331	4453.89470768844	4361.54064150624	4706.93965167483
ENST00000244745.4	818.77273176415	906.354131126602	1380.68079764311	2762.24428888606	2663.24163065425	3037.94511382997
ENST00000245680.7	1502.93099118797	1731.41670616247	1774.12291967826	2734.2182713446	2845.45870211459	2667.57834840934
ENST00000246792.4	116.401926082524	127.076455498163	152.601561844765	275.776012607943	303.395912086666	161.742448190021
ENST00000249075.4	3.95924918648042	4.67192851096186	0	34.7522617514074	35.0072206253845	31.6452616023955
ENST00000249344.7	91.0627312890496	103.716812943353	68.5149869507109	312.770355762666	374.307974379111	210.968410682637
ENST00000249504.7	0	0	0	12.3314477182413	6.28334729173568	5.86023363007324
ENST00000250113.12	521.829042778119	484.011793735649	639.473211539968	819.480752912219	781.827927300254	982.175156400275
ENST00000250263.8	726.918150637804	868.044317336714	787.922349933175	1628.87213950951	1543.01057064195	1194.31561380893
ENST00000250360.7	0	0	4.15242345155824	61.6572385912067	65.5263360423864	24.6129812463076
ENST00000252483.10	65.7235364955749	48.5880565140034	46.7147638300302	118.83031437578	151.697956043333	84.3873642730546
ENST00000252744.6	102.940478848491	98.1104987301991	104.848692151845	180.487552966987	202.862355418895	174.634962176183
ENST00000253122.10	5.54294886107258	5.60631421315424	12.4572703546747	61.6572385912067	52.0620204172385	50.3980092186299
ENST00000254436.8	531.331240825672	484.011793735649	737.055162651587	888.985276415034	911.085357301674	1050.15386650912
ENST00000254816.6	0	0	0	23.5418547348244	23.3381470835897	9.37637380811718
