ENST00000318560.6	 ABL1
ENST00000319190.11	TTC7A
ENST00000319340.7	CHST13
ENST00000321265.10	NUDC
ENST00000322038.5	TSHZ1
ENST00000322217.6	MYPOP
ENST00000322357.9	ZBTB7A
ENST00000323853.10	SNRNP200
ENST00000324000.4	ST8SIA3
ENST00000324093.8	PLXND1
ENST00000324288.13	CIITA
ENST00000326495.10	SSH1
ENST00000326765.10	SSH1
ENST00000327064.8	CARM1
ENST00000327367.9	SMAD3
ENST00000328024.11	RAB11B
ENST00000328557.5	NRROS
ENST00000331483.9	P4HB
ENST00000331495.8	FMNL1
ENST00000332598.7	TMED9
ENST00000333039.3	NPTXR
ENST00000333407.11	FAM83F
ENST00000333598.7	MCEMP1
ENST00000333676.8	MRPL12
ENST00000335099.8	RTN4RL2
ENST00000335312.7	PIP5K1C
ENST00000335953.9	ZBTB16
ENST00000335972.11	UBA1
ENST00000336600.6	C6orf223 
ENST00000336615.9	PNPLA2
ENST00000339157.10	ABHD12
ENST00000339468.8	YPEL1
ENST00000340381.11	TMEM201
ENST00000340913.10	HNRNPA1
ENST00000342456.11	ALDH3B1
ENST00000342462.5	TMPPE
ENST00000342665.4	SOX12
ENST00000343905.5	SOWAHD
ENST00000344293.6	TAF3
ENST00000345097.8	FOXN3
ENST00000345317.7	SKAP2
ENST00000349394.6	NXPH4
ENST00000350498.8	PDAP1
ENST00000352410.9	MPI
ENST00000356786.10	CCDC88B
ENST00000357304.8	PRRC2B
ENST00000360066.6	CDK18
ENST00000360184.10	DYNC1H1
ENST00000361227.2	MT-ND3
ENST00000361428.3	ZNF318
ENST00000361441.5	APOBEC3C
ENST00000361470.4	MAGEE1
ENST00000361479.10	MPHOSPH8
ENST00000361624.2	MT-CO1
ENST00000361739.1	MT-CO2
ENST00000361875.7	TSC22D2
ENST00000362079.2	MT-CO3
ENST00000369448.4	TENT5C
ENST00000369886.8	SAMD10
ENST00000370028.7	ARHGAP4
ENST00000370345.8	SEC31B
ENST00000370351.9	SLC17A9
ENST00000370355.3	SCD
ENST00000371219.2	RBM38
ENST00000371316.3	ACOT11
ENST00000371835.8	BRD4
ENST00000371941.4	PREX1
ENST00000371975.9	RAD54L
ENST00000372271.4	FAM78A
ENST00000372397.6	TSC22D3
ENST00000372409.8	PCIF1
ENST00000373016.4	FHL3
ENST00000373477.8	YARS1
ENST00000373656.4	ZBTB26
ENST00000373795.7	SRSF4
ENST00000374466.4	CSGALNACT2
ENST00000374695.8	HSPG2
ENST00000375071.4	CDA
ENST00000375135.4	FGD1
ENST00000376236.9	APBB1IP
ENST00000376588.4	PSAT1
ENST00000376701.5	WAS
ENST00000376771.9	TBC1D25
ENST00000376957.7	SRM
ENST00000378536.5	SKI
ENST00000378555.8	PODXL
ENST00000381348.4	LINC00634
ENST00000382348.2	OLIG1
ENST00000382745.9	CLCN7
ENST00000389680.2	MT-RNR1
ENST00000394660.6	IL16
ENST00000394818.8	INCENP
ENST00000395323.9	LBH
ENST00000395734.7	MAP4
ENST00000395905.8	LRRC2
ENST00000396077.8	ZNF445
ENST00000397224.8	FOXRED2
ENST00000397554.5	UQCC1
ENST00000398055.7	C12orf66
ENST00000398411.5	C12orf66
ENST00000398475.5	LAT2
ENST00000398665.8	CST3
ENST00000399151.3	DOP1B
ENST00000401878.8	RBM33
ENST00000403638.7	PASK
ENST00000404767.8	INTS1
ENST00000409415.7	WIPF1
ENST00000409790.6	CLEC16A
ENST00000414656.1	CCDC183
ENST00000417456.1	RP11-244H3.1
ENST00000419735.7	ATXN7L1
ENST00000423345.5	PRAM1
ENST00000426559.6	STMN1
ENST00000430889.3	HOXC4
ENST00000432264.4	ZNF619
ENST00000432825.7	FBXO10
ENST00000433197.4	ERN1
ENST00000437048.7	VPS53
ENST00000442218.3	SLC48A1
ENST00000443940.6	TESMIN
ENST00000445551.1	FOXD2
ENST00000446489.1	AC068580.1
ENST00000446840.6	AC005165
ENST00000450304.1	NATLT1
ENST00000450671.1	AL035587.1
ENST00000450673.3	ARL17B
ENST00000454608.3	USP41
ENST00000456790.2	MMP24OS
ENST00000458626.4	C1orf226
ENST00000464139.5	TUBGCP3
ENST00000468472.1	AC006254.1
ENST00000480798.2	CST7
ENST00000500893.4	ZCCHC3
ENST00000501726.1	LINC00926
ENST00000502027.1	LINC00926
ENST00000502156.1	AC009292.1
ENST00000511216.6	UVSSA
ENST00000516183.1	SCARNA17 
ENST00000516330.1	ENSG00000252139 
ENST00000520820.2	UBR5-AS1
ENST00000528723.5	AMPD3
ENST00000537616.1	AC010186.3
ENST00000537720.1	AC148477.1
ENST00000539276.7	ATP2A2
ENST00000550948.1	SELPLG
ENST00000558334.1	ZNF710-AS1
ENST00000563328.4	RP5-991G20.1
ENST00000565308.2	HNRNPA1P48
ENST00000565433.1	RP11-800A3.4
ENST00000570282.1	AC007541.1
ENST00000577571.5	RASSF5 
ENST00000577745.2	SLC25A35
ENST00000579991.3	DYNLL2
ENST00000581067.1	ENST00000581067.1
ENST00000583400.7	SNHG29
ENST00000583412.1	mir-4442 
ENST00000592087.1	CTD-2630F21.1
ENST00000593393.1	AC012313.1
ENST00000602355.1	STXBP2
ENST00000606343.1	AL365181.2 
ENST00000607727.1	Lnc-ZNF184-2
ENST00000610062.1	AC093799.1
ENST00000611551.1	NATD1
ENST00000612344.1	FLJ36000
ENST00000612689.1	AC114271.1
ENST00000612811.3	TMC3-AS1
ENST00000614654.2	ZSWIM9
ENST00000616907.2	RNASEH2B
ENST00000617013.1	AC110048.2
ENST00000618132.1	MALAT1
ENST00000619168.4	CAMK1D
ENST00000619208.6	PDZD7
ENST00000619449.2	MALAT1
ENST00000619640.3	RRM2
ENST00000619918.1	RIMBP3
ENST00000620173.4	RNASET2
ENST00000620791.1	ZNF710-AS1
ENST00000622933.1	AL807752.6
ENST00000623196.1	C9orf139
ENST00000629952.2	AP2A2
ENST00000634965.2	AC004706.3
ENST00000636584.1	HRH2
ENST00000641304.1	AC092821.3
ENST00000642113.1	TMC3-AS1
ENST00000649368.1	COL9A3
ENST00000651671.1	NOTCH1
ENST00000652567.1	ZNF808
ENST00000652691.1	SPN
ENST00000654612.1	AL603783.1
ENST00000655387.1	AC104850.2
ENST00000656939.1	ENST00000656939.1
ENST00000662018.1	OLMALINC
ENST00000662196.1	ENST00000662196.1
ENST00000666926.1	AC090559.1
ENST00000667513.1	TMC3-AS1
ENST00000669831.1	AL031123.1
