Genes	BB1-EtoH-91418	BB2-EtoH-91418	J-EtoH-91418	BB1-PonA-91418	BB2-PonA-91418	J-PonA-91418
ENST00000046794.10	167.513105883077	178.44923508758097	168.090349423631	56.199704077102005	69.9835458993194	87.05326894401259
ENST00000167106.9	253.558089232855	239.957269309258	323.549632127567	100.691136471474	118.505471056181	132.419056985259
ENST00000174618.5	151.03640694375798	179.208593534762	233.188924055904	86.6412104521989	93.31139453242581	85.8271665645195
ENST00000178640.10	45.7686081647752	51.6363744083214	40.8080617097832	12.8790988510025	19.5953928518094	11.034921415438198
ENST00000202556.14	133.644335841144	147.315538753152	228.33082147140598	63.2246670867398	82.11402718853469	87.05326894401259
ENST00000205061.9	401.848379686726	416.887787502477	413.91034019922995	183.81986541885502	204.351954026013	207.21130213433997
ENST00000215730.12	378.964075604339	429.79688110455703	406.137376064033	110.05775381765801	152.09757308785402	109.123111774889
ENST00000215793.13	2195.06244758262	2315.28390545547	3449.25283499358	526.872225722831	645.714850164387	749.1485538703059
ENST00000216127.5	110.76003175875601	97.9572396863744	103.963395308257	33.9539878799158	33.5921020316733	36.7830713847941
ENST00000216146.9	22.8843040823876	20.5026780738923	36.921579642184795	7.024963009637751	9.33113945324258	6.13051189746568
ENST00000216181.10	9832.01240595701	10035.681237946701	17672.805581886798	2834.57257438883	3369.4744565659003	3856.09198350591
ENST00000216268.6	1242.160025592	1273.44411592287	1123.1933175359402	475.355830318821	551.470341686637	410.7442971302
ENST00000218104.6	947.410189010847	1062.3424676064901	1247.56074369909	429.693570756176	448.82780770096804	606.920677849102
ENST00000221494.10	557.4616474469619	598.3744563787831	801.586926442171	268.11942153450804	237.944056057686	204.759097375354
ENST00000221922.11	21.053559755796602	26.577545651341897	38.864820675984	7.024963009637751	12.1304812892154	12.2610237949314
ENST00000221930.6	959.3100271336881	1183.8398191554902	2317.31493280555	469.501694477456	656.912217508278	663.321387305786
ENST00000222345.11	403.67912401331705	492.823632220597	534.39128429478	129.961815678298	192.22147273679698	167.97602599056
ENST00000222374.3	18.307443265910102	24.299470309798302	37.893200159084394	8.195790177910709	5.598683671945549	13.4871261744245
ENST00000223127.8	3410.6766804390504	3847.6692518671202	3743.65385161416	1519.7336644183	1787.8463192412803	1777.8484502650501
ENST00000227520.10	137.305824494326	138.203237386978	407.108996580933	74.9329387694694	60.652406446076796	94.40988322097141
ENST00000233379.9	91.5372163295504	90.3636552145624	52.4675079125784	21.0748890289133	31.7258741410248	24.522047589862698
ENST00000238647.5	432.055661075478	482.19261396006	556.738556183471	174.45324807267102	192.22147273679698	297.942878216832
ENST00000240364.7	78.7220060434133	84.2887876371128	26.2337539562892	14.049926019275501	25.194076523755	9.808819035945081
ENST00000244333.4	27.461164898865103	34.1711301231538	7.77296413519681	4.68330867309183	7.46491156259406	0.0
ENST00000244815.9	140.051940984212	142.759388070065	141.856595467342	52.687222572283105	46.655697266212904	87.05326894401259
ENST00000246841.3	140.051940984212	132.128369809528	42.7513027435824	44.491432394372396	40.1238996489431	17.1654333129039
ENST00000248098.8	139.136568820917	128.33157757362198	123.395805646249	35.1248150481888	41.057013594267396	29.426457107835198
ENST00000248244.5	31.1226535520471	29.6149794400667	33.035097574586395	4.68330867309183	11.197367343891099	9.808819035945081
ENST00000248668.4	57.668446287616796	59.9893173273145	37.893200159084394	11.708271682729599	27.0603044144035	19.617638071890198
ENST00000252674.9	759.7588955352679	892.246175437906	1289.34042592577	375.83552101562003	414.30259172397103	438.94465185854204
ENST00000252699.7	1673.30031450418	1750.3212207526599	2459.1715282728896	563.1678679392929	717.5646239543539	868.08048468114
ENST00000253048.10	1088.3775021583501	1210.4173648068302	1426.3389188086098	506.96816386219103	579.463760046364	394.80496619679
ENST00000253458.12	76.8912617168223	72.13905248221371	72.8715387674701	23.416543365459198	23.3278486331065	34.3308666258078
ENST00000254193.11	885.164881906752	797.326369540256	441.11571467241896	368.810558005982	379.77737574697306	204.759097375354
ENST00000254508.7	9855.81208220269	10878.569114317801	11100.7644055779	3390.71547931849	4238.20353966278	3916.1710001010706
ENST00000255087.10	166.597733719782	151.112330989058	39.8364411928836	35.1248150481888	40.1238996489431	25.748149969355804
ENST00000255198.3	44.8532360014797	38.727280806241005	31.0918565407872	21.0748890289133	12.1304812892154	14.713228553917599
ENST00000255882.11	2888.9145473606104	2900.74926823217	3116.9586182139196	741.133597516783	948.976882394771	939.194422691741
ENST00000256495.4	1717.23817834237	1922.69558826279	3320.99892676284	309.09837242406104	404.971452270728	621.63390640302
ENST00000257548.10	153.782523433645	137.443878939797	92.3039491054621	45.662259562645396	53.18749488348271	38.009173764287205
ENST00000257700.7	850.380739701523	775.3049745720019	812.274752128066	366.46890366943603	371.37935023905504	366.60461146844705
ENST00000258201.9	878.7572767636839	954.5135681067641	1588.59954513085	476.526657487094	544.938544069367	560.3287874283631
ENST00000258787.12	248.06585625308202	329.561566076639	335.209078330362	129.961815678298	112.906787384235	185.141459303463
ENST00000259351.10	85.12961118648191	91.88237210892478	52.4675079125784	37.4664693847347	27.9934183597277	24.522047589862698
ENST00000260327.9	155.613267760236	125.294143784897	93.2755696223617	57.370531245375005	45.7225833208886	49.044095179725396
ENST00000261374.4	2022.05710871977	2226.4389671352696	2302.74062505205	791.47916575252	950.843110285419	846.010641850263
ENST00000261381.7	1168.93025252836	1186.11789449703	2294.96766091686	388.714619866622	464.69074477148104	771.218396701182
ENST00000261609.12	1146.96132060927	1064.62054294804	742.318074911295	293.877619236513	387.242287309567	295.490673457846
ENST00000261772.12	5536.170843611209	5502.31130827495	2908.0602070805103	1463.5339603411999	1595.62484650448	987.012415491974
ENST00000261776.10	537.323459854461	639.379812526568	671.389777177624	265.777767197962	333.12167848076	237.863861621668
ENST00000262426.6	275.527021151947	308.299529555566	334.237457813463	124.107679836934	132.502180236045	137.323466503231
ENST00000262577.6	121.744497718302	164.78078303831998	207.926790616515	46.833086730918296	67.1842040633466	68.6617332516156
ENST00000263579.5	364.318120991611	377.40114824905504	434.31437105412203	155.72001338030302	206.218181916661	142.227876021204
ENST00000264025.8	104.35242661568701	128.33157757362198	361.442832286652	51.5163954040102	76.5153435165892	82.14885942604
ENST00000264027.9	226.096924333989	197.43319626711101	99.10529272375929	91.32451912529079	81.1809132432105	64.9834261131362
ENST00000265022.8	103.437054452392	104.791465711005	74.8147798012693	56.199704077102005	31.7258741410248	42.9135832822597
ENST00000265641.10	1405.0962706586	1393.4227505775	2085.09762926654	487.06410200155096	576.664418210392	815.3580823629351
ENST00000265866.11	231.589157313763	198.192554714292	325.492873161366	85.470383283926	69.0504319539951	144.68008078019
ENST00000267205.7	501.62394548593596	533.0696299212	650.985746322733	250.557014010413	282.73352543325	268.516421108997
ENST00000269321.12	86.04498334977741	100.99467347509899	163.23224683913298	21.0748890289133	31.7258741410248	35.5569690053009
ENST00000271526.9	611.4686050813971	719.8718079277741	903.6070807166291	247.044532505594	337.78724820738097	360.474099570982
ENST00000271638.3	5187.41404939562	5551.66960734173	6317.4766008812	2354.5334353969197	2963.56989034984	2172.6534164618397
ENST00000274376.11	203.21262025160198	195.155120925568	172.948452008129	92.49534629356371	73.7160016806164	80.9227570465469
ENST00000274811.9	599.568766958555	659.88249060046	633.49657701854	155.72001338030302	191.288358791473	180.237049785491
ENST00000279392.8	310.31116335717604	275.647116326774	281.769949900884	118.253543995569	141.83331968928698	127.514647467286
ENST00000281589.4	166.597733719782	145.79682185879	151.572800636338	50.3455682357372	50.3881530475099	56.4007094566842
ENST00000282388.4	2390.95209052786	2579.54064507452	5630.54089543319	682.592239103135	770.7521188378371	1852.64069541413
ENST00000282572.5	73.2297730636403	71.3796940350325	73.8431592843697	29.270679206824003	36.3914438676461	28.2003547283421
