	htseq-count on data 343 and data 408	htseq-count on data 343 and data 420	htseq-count on data 343 and data 432	htseq-count on data 343 and data 411	htseq-count on data 343 and data 423	htseq-count on data 343 and data 435
ENST00000009041.11	106.183170942278	110.106974841273	93.2755696223617	176.794902409217	169.826738049015	152.036695057149
ENST00000053468.4	4573.19932782434	4415.66937035866	3963.24008843347	7973.33301593885	6666.1660253965	5922.07449295184
ENST00000054666.11	1942.41973051306	2061.65818409695	1470.0618420691	3133.13350229844	2984.09839714698	2390.89964001161
ENST00000056233.4	584.922812345827	672.032225755359	635.439818052339	1272.68913191271	1197.18519185102	850.915051368236
ENST00000164133.7	75.0605173902313	86.5668629786564	102.020154274458	232.994606486319	186.622789064852	217.020121170285
ENST00000193322.8	556.546275283666	520.16053631912	859.884157456147	1194.24371163842	1097.34199970133	1535.08017912541
ENST00000199320.9	194.058898618647	196.67383781993	224.444339403808	341.881533135704	304.195146175708	313.882209150243
ENST00000200135.8	1047.18575481006	939.32639916314	1322.37552350036	1721.11593736125	1690.80246892756	1754.55250505468
ENST00000205636.4	4074.32149882829	4051.93667415886	4884.33633845429	7337.57386356663	6548.59366828564	6193.04311881983
ENST00000206423.7	1.83074432659101	3.03743378872479	3.8864820675984	33.9539878799158	41.9901275395916	3.67830713847941
ENST00000211314.5	615.130093734579	678.86645177999	884.174670378637	1360.50116953318	1053.48564427109	1289.85970322678
ENST00000216115.3	95.1987049827324	97.9572396863744	66.0701951491729	221.286334803589	190.355244846149	110.349214154382
ENST00000218340.4	2568.53429020718	2603.08075693714	2822.55760159334	5398.68407290661	4700.09494259829	4492.43911846285
ENST00000221114.8	259.965694375923	220.973308129728	160.317385288434	464.818385804365	351.783957387245	392.352761437803
ENST00000221847.6	2.74611648988651	3.03743378872479	2.9148615506988	30.4415063750969	36.3914438676461	28.2003547283421
ENST00000222553.8	790.881549087315	714.556298797506	1711.0237302602	2733.88143791736	2505.41094319563	3963.98899290131
ENST00000223095.5	15.5613267760236	12.9090936020803	30.1202360238876	33.9539878799158	61.585520391401	46.5918904207391
ENST00000223273.7	43.0224916748887	49.3582990667778	68.0134361829721	104.203617976293	106.374989766965	125.0624427083
ENST00000223324.3	989.51730852244	959.069718789851	1118.33521495144	1826.49038250582	1561.09963052748	1562.05443147425
ENST00000228434.7	1084.71601350517	1051.71144934596	1131.93790218803	1627.44976389941	1364.21258806407	2111.34829748718
ENST00000229314.10	662.729446225945	696.331696065157	557.710176700371	1097.06505667176	949.909996340095	998.047336907412
ENST00000231512.5	1516.77167458065	1629.58322765085	1680.90349423631	3066.39635370688	2734.9569737454	2772.21748003398
ENST00000231572.8	2089.79464880364	2091.27316353702	2153.11106544952	3962.07913743569	3515.04023203648	3331.32016508285
ENST00000233143.6	10086.4858673532	10044.0341808657	9650.13497384684	25370.6539093067	19702.7009555217	17159.3028010064
ENST00000233468.5	7903.32325789338	7787.98023429035	7136.55269662757	13627.257411529	11227.2269901415	11329.1859865166
ENST00000235290.7	795.458409903793	779.861125255089	640.297920636837	1400.30929325446	1147.73015274884	947.777139348193
ENST00000238497.10	871.43429945732	871.743497364014	1164.00137924572	1670.77036912551	1386.60732275185	1733.70876460329
ENST00000241052.5	6324.30627620864	6393.79812526567	9984.3724316603	13191.7097049314	11928.9286770253	12937.8323084116
ENST00000242057.9	71.3990287370493	72.1390524822137	73.8431592843697	120.595198332115	195.02081457277	159.393309334108
ENST00000242208.5	0	0.759358447181196	1.9432410337992	30.4415063750969	27.9934183597277	19.6176380718902
ENST00000242719.4	1472.83381074247	1543.01636467219	1455.4875343156	2331.11689203146	2205.88136674655	2359.02097814479
ENST00000244496.6	2260.0538711766	2463.3588026558	3691.18634370158	4651.69633954846	4534.00066033057	4924.02715604443
ENST00000245046.6	429.309544585591	457.893143650261	610.177684612949	908.561882579816	739.959358642137	953.907651245659
ENST00000245680.7	1401.43478200542	1321.28369809528	1461.317257417	2855.64746341775	2957.9712066779	2790.60901572638
ENST00000246794.10	9.15372163295504	13.6684520492615	15.5459282703936	35.1248150481888	36.3914438676461	24.5220475898627
ENST00000249075.4	5.49223297977302	5.31550913026838	1.9432410337992	36.2956422164617	36.3914438676461	33.1047642463147
ENST00000250263.8	781.72782745436	723.66860016368	775.353172485881	1701.21187550061	1604.0228720124	1249.3983247035
ENST00000250360.7	1.83074432659101	1.51871689436239	3.8864820675984	64.3954942550127	68.1173180086708	25.7481499693558
ENST00000253247.9	1962.55791810556	1934.84532341769	2396.01619467442	3460.96510941487	3263.09946679893	3214.840439031
ENST00000254301.14	166.597733719782	172.374367510132	226.387580437607	319.635816938518	251.94076523755	329.821540083653
ENST00000254810.8	2335.11438856683	2398.8133346454	2589.36867753744	4745.3625130103	4341.77918759377	4198.17454738449
ENST00000254816.6	2.74611648988651	3.03743378872479	0	24.5873705337321	24.2609625784307	9.80881903594508
ENST00000256104.5	5.49223297977302	5.31550913026838	0	525.701398554558	395.640312817485	31.8786618668215
ENST00000256544.8	740.536080106063	734.299618424217	759.807244215488	1218.83108217215	1004.0306051689	1293.53801036526
ENST00000256722.9	68.6529122471628	63.0267511160393	78.7012618688677	229.4821249815	201.55261219004	100.540395118437
ENST00000258534.13	362.48737666502	396.385109428585	354.641488668354	831.287289473801	759.554751493946	527.224023182048
ENST00000259467.9	778.066338801178	741.893202896029	710.254597853608	1234.0518353597	1068.41546739628	1162.34505575949
ENST00000260227.5	3.66148865318202	7.59358447181197	1.9432410337992	180.307383914036	150.231345197206	50.2701975592185
ENST00000260356.6	3.66148865318202	1.51871689436239	23.3188924055904	46.8330867309183	72.7828877352921	74.7922451490812
ENST00000260506.12	34.7841422052292	34.930488570335	49.5526463618796	72.5912844329234	70.9166598446436	83.3749618055332
ENST00000260843.5	0	0	0	99.5203093032015	90.512052696453	56.4007094566842
ENST00000261647.10	1361.15840682041	1338.74894238045	1374.84303141294	2326.43358335837	2153.62698580839	2232.732433057
ENST00000261811.6	173.00533886285	179.967951981944	141.856595467342	288.023483395148	278.067955706629	219.472325929271
ENST00000261845.7	4128.32845646272	3991.18799838437	4525.80836771834	10416.8493161245	9730.51222184136	9396.84863643539
ENST00000261867.5	79.6373782067088	67.5829017991265	64.1269541153737	110.057753817658	126.903496564099	126.288545087793
ENST00000262193.7	7502.39025036995	7611.80907454431	6831.46385432109	14699.735097667	12713.677505043	11704.3733146415
ENST00000262932.5	316.718768500244	350.064244150532	422.654924851326	831.287289473801	786.61505590835	659.643080167307
ENST00000262942.10	279.188509805129	316.652472474559	389.61982727674	553.801250593109	510.413328092369	492.89315655624
ENST00000263238.7	4477.08525067831	4447.56242514027	5466.33702807715	8153.64039985288	7517.16594353222	6947.0960822081
ENST00000263339.4	0	0	0	26.929024870278	19.5953928518094	20.8437404513833
ENST00000263635.8	154.69789559694	164.78078303832	141.856595467342	225.969643476681	235.144714221713	507.606385110158
ENST00000263856.9	284.680742784902	291.593643717579	300.230739721977	503.455682357372	463.757630826156	403.387682853241
ENST00000263960.6	475.078152750367	436.631107129188	383.790104175342	894.51195656054	815.541588213402	631.442725438965
ENST00000264192.8	94.2833328194369	98.7165981335556	161.289005805334	261.09445852487	158.629370705124	342.082563878585
ENST00000264255.8	380.79481993093	379.679223590598	520.788597058186	992.861438695469	801.544879033538	996.821234527919
ENST00000264433.11	1041.69352183028	1132.20344474716	1262.13505145258	2030.21430978531	2074.31230045583	1379.36517692978
ENST00000264717.7	0.915372163295504	1.51871689436239	0.971620516899601	112.399408154204	152.097573087854	23.2959452103696
ENST00000264741.10	16.4766989393191	15.9465273908051	48.58102584498	96.0078277983826	90.512052696453	51.4962999387117
ENST00000264832.8	484.231874383322	539.903855945831	656.81546942413	1161.46055092677	1335.28605575901	979.655801215015
ENST00000264982.8	0.915372163295504	0	0	55.0288769088291	41.0570135942674	18.391535692397
ENST00000265026.8	3.66148865318202	9.87165981335555	7.77296413519681	32.7831607116428	31.7258741410248	40.4613785232735
ENST00000265138.4	281.01925413172	280.962625457043	448.888678807616	553.801250593109	516.012011764315	1098.58773202585
ENST00000265361.8	9.15372163295504	5.31550913026838	15.5459282703936	543.263806078653	444.162237974347	317.560516288722
ENST00000266712.11	600.484139121851	632.545586501937	556.738556183471	975.299031171375	961.107363683986	1025.02158925626
ENST00000269081.8	0	0	0	71.4204572646505	51.3212669928342	18.391535692397
ENST00000269187.10	268.204043845583	273.369040985231	333.265837296563	535.068015900742	481.486795787317	480.632132761309
ENST00000269195.5	2626.2027364948	2462.59944420862	2998.42091515217	4607.20490715409	4073.04237134039	3994.64155238863
ENST00000271277.11	59.4991906142078	60.7486757744957	69.9566772167713	96.0078277983826	104.508761876317	118.931930810834
ENST00000271588.9	1.83074432659101	4.55615068308718	0.971620516899601	26.929024870278	29.8596462503763	31.8786618668215
ENST00000272252.10	6.40760514306853	9.11230136617436	3.8864820675984	138.157605856209	118.505471056181	18.391535692397
ENST00000273986.10	218.773947027625	226.288817259997	362.414452803551	504.626509525645	418.968161450592	469.597211345871
ENST00000275767.3	9.15372163295504	7.59358447181197	3.8864820675984	30.4415063750969	24.2609625784307	19.6176380718902
ENST00000276914.7	659.983329736058	743.411919790391	1018.25830171078	6741.6228349157	6264.92702890707	13848.826376375
ENST00000276925.7	27.4611648988651	29.6149794400667	29.148615506988	49.1747410674643	70.9166598446436	79.6966546670538
