ENST00000380871.5	NKX3
ENST00000380916.8	ZDHHC21
ENST00000382159.8	GNG7
ENST00000382348.2	OLIG1
ENST00000383763.6	TRIM71
ENST00000389912.7	COX16
ENST00000390477.2	TRDC
ENST00000394480.6	NTRK3
ENST00000394907.8	NRG4 
ENST00000395212.8	THOP1
ENST00000396496.7	CCDC125
ENST00000397618.7	UGGT2
ENST00000398055.7	C12orf66
ENST00000398475.5	LAT2
ENST00000401499.1	AC008060.1
ENST00000404801.2	ZNF792
ENST00000406452.8	RMDN1
ENST00000412972.1	RP11
ENST00000421176.4	ZNF284
ENST00000421320.1	LINC02623
ENST00000423145.7	CD70
ENST00000435030.6	KIF5C
ENST00000435803.6	ABCA13
ENST00000437232.5	VIM-AS1
ENST00000446840.6	AC005165
ENST00000456283.7	ZNF714
ENST00000457137.6	EBI
ENST00000500853.1	AC100861.1
ENST00000501726.1	LINC00926
ENST00000502027.1	LINC00926
ENST00000502156.1	AC009292.1
ENST00000504300.2	AC008771.1
ENST00000517490.6	CPNE3
ENST00000517856.5	ASPH
ENST00000517970.6	WWP1
ENST00000518049.1	RHPN1
ENST00000520820.2	UBR5-AS1
ENST00000521861.6	EIF3H
ENST00000524425.1	AC009646.2
ENST00000537616.1	AC010186.3
ENST00000558676.5	NTRK3
ENST00000565433.1	RP11-800A3.4
ENST00000565886.1	B-Raf
ENST00000567905.1	AC006538.1
ENST00000585908.2	ANKRD29-004
ENST00000587961.1	AC079466.1
ENST00000588908.5	AC009005.1
ENST00000591812.2	RINL
ENST00000598149.5	SATB1-AS1
ENST00000598518.6	IGFL2-AS1
ENST00000598933.1	LINC02132
ENST00000599411.2	RP11-542M13.2
ENST00000601797.1	AC008763.1
ENST00000607148.1	AC144521.1
ENST00000607727.1	Lnc-ZNF184-2
ENST00000611052.4	LOC374443
ENST00000611870.5	CNTNAP4
ENST00000612363.2	TWIST2 
ENST00000622716.1	ENSG00000278518
ENST00000622933.1	AL807752.6
ENST00000624552.3	HMCN2
ENST00000634212.1	MED16
ENST00000636300.1	MIR3191
ENST00000640078.1	AC096667.1
ENST00000640504.1	ENSG00000283959 
ENST00000641304.1	AC092821.3
ENST00000650778.1	AC105402.1
ENST00000651864.1	ZNF761
ENST00000653438.1	LY86
ENST00000655022.1	AC005532.1
ENST00000655387.1	AC104850.2
ENST00000659376.1	LINC00484
ENST00000662018.1	OLMALINC
ENST00000662739.1	AC004585.1
ENST00000665870.1	AL365272.1
ENST00000668826.1	ENST00000668826.1
ENST00000669831.1	AL031123.1
ENST00000672226.1	AC104530.1
ENST00000005260.9	BAIAP2L1
ENST00000053468.4	MRPS10 
ENST00000054666.11	VAMP3
ENST00000162749.7	CD120a
ENST00000164133.7	PPP2R5B
ENST00000173229.7	NTN1
ENST00000182527.4	TRAM2
ENST00000187762.7	TMEM38A
ENST00000206423.7	CCDC80
ENST00000209728.9	CDC6
ENST00000217381.3	SNTA1
ENST00000219271.4	MMP15
ENST00000219439.9	HSDL1
ENST00000219473.11	MDC3
ENST00000220659.11	BRF2
ENST00000223095.5	SERPINE1
ENST00000227880.8	SLC15A3
ENST00000228515.6	CSRNP2
ENST00000228928.12	OAS3
ENST00000229769.3	FANCE
ENST00000229812.8	STK38
ENST00000229903.5	SAYSD1
ENST00000230340.9	BYSL
ENST00000233143.6	TMSB10
ENST00000237281.5	FBXO30
ENST00000242208.5	INHBA
ENST00000243349.13	ACVR1C
ENST00000244496.6	RRP36
ENST00000244745.4	SOX4
ENST00000245680.7	FLJ22004
ENST00000246792.4	R-Ras
ENST00000249075.4	LIF
ENST00000249344.7	STRIP2
ENST00000249504.7	HOXD11
ENST00000250113.12	FXR2
ENST00000250263.8	 ERI1
ENST00000250360.7	SIGLEC9
ENST00000252483.10	NECTIN2
ENST00000252744.6	ZSWIM6
ENST00000253122.10	SLC6A8
ENST00000254436.8	TRIM21
ENST00000254816.6	TRIM47
ENST00000257013.9	RTL8C
ENST00000257549.9	SDS
ENST00000258400.4	HTR2B
ENST00000260227.5	MMP7
ENST00000260356.6	THBS1
ENST00000260506.12	FNBP1L
ENST00000260843.5	GPR87
ENST00000261374.4	HS3ST2
ENST00000261596.8	LPIN2
ENST00000261811.6	CYSTM1
ENST00000261835.8	CYP46A1
ENST00000261845.7	MAPK6
ENST00000261867.5	SLC30A4
ENST00000262094.10	RAB27B
ENST00000262291.9	VMP1
ENST00000262394.7	WSB1
ENST00000262942.10	ARPC1A
ENST00000263073.11	SMG6
ENST00000263277.8	EHD2
ENST00000263339.4	IL1A
ENST00000263461.11	WDR11
ENST00000263635.8	TANC1
ENST00000263734.5	EPAS1
ENST00000263960.6	COQ10B
ENST00000264039.7	GPC1
ENST00000264245.9	ARHGAP31
ENST00000264433.11	FNIP2
ENST00000264712.8	KIF3C
ENST00000264716.9	FOSL2
ENST00000264832.8	ICAM1
ENST00000264870.8	F13A1
ENST00000264982.8	CEP70
ENST00000265018.4	FAM184B
ENST00000265026.8	MAP3K13
ENST00000265138.4	ARRDC3
ENST00000265198.8	IPCEF1
ENST00000265350.9	MED20
ENST00000265361.8	SEMA3C
ENST00000265421.9	POLB
ENST00000268122.9	RHCG
ENST00000269081.8	ABCA10
ENST00000269228.10	NPC1
ENST00000270645.8	RCN3
ENST00000271277.11	CTTNBP2NL
ENST00000271588.9	HMCN1
ENST00000272252.10	GALM
ENST00000274192.7	SRD5A1
ENST00000275767.3	TMEM140
ENST00000276055.4	CHST7
ENST00000276914.7	PLIN2
ENST00000278505.5	ENDOD1
ENST00000278927.10	ESAM
ENST00000279441.9	MMP10
ENST00000279873.12	ARID5B
ENST00000280096.5	HNMT
ENST00000280097.5	HNMT
ENST00000282406.9	PLEKHH2
ENST00000282878.6	RAB3C
ENST00000284273.6	UBASH3B
ENST00000284425.7	ABCA6
ENST00000284669.2	KLHL41
ENST00000285735.6	RHOC
ENST00000286201.2	FZD7
ENST00000286918.9	ANKRD9
ENST00000287814.5	TIMP4
ENST00000288840.10	SMAD6
ENST00000289672.6	PKD1L1
ENST00000290510.10	P3H3
ENST00000291294.7	PTGIR
ENST00000291295.14	CALM3
ENST00000293379.9	ITGA5
ENST00000293443.12	FAM171A2
ENST00000294066.7	MAP4K2
ENST00000295025.12	REL
ENST00000295228.4	INHBB
ENST00000295379.2	BMP10
ENST00000295704.7	RNF25 
ENST00000295822.7	EIF5A2
ENST00000295888.8	WDFY3
ENST00000296181.9	ITGB5
ENST00000296351.8	MELTF
ENST00000296861.2	TNFRSF21
ENST00000297439.4	DEFB1
ENST00000298198.5	PGM2L1
ENST00000298530.7	TMEM52B
ENST00000299505.7	GARRE1
ENST00000299977.9	SLFN5 
ENST00000302035.11	SLAMF1
ENST00000302495.5	HTRA4
ENST00000302514.4	C1QTNF4
ENST00000303045.11	COL22A1
ENST00000303115.8	IL7R
ENST00000303375.10	MRC2
ENST00000304760.3	SHE
ENST00000305366.8	TM4SF1
ENST00000306390.7	LRG1
ENST00000306442.5	PPIC
ENST00000306621.8	CXCL11
ENST00000307126.10	GTPBP2
ENST00000307851.9	HAVCR2
ENST00000308064.7	CHST1
ENST00000308527.5	SNX33
ENST00000308942.4	SIPA1L2
ENST00000309100.8	MAP3K11
ENST00000309166.8	NRIP3
ENST00000309539.8	OLR1
ENST00000310624.7	NEFH
ENST00000310942.9	CBX2
ENST00000310958.10	CCPG1
ENST00000311268.8	GPR162
ENST00000311601.6	SH3PXD2B
ENST00000311922.4	TRIB1
ENST00000313766.6	FAM20C
ENST00000314011.9	ZNF436
ENST00000315274.7	MMP1
ENST00000315323.5	FZD2
ENST00000315707.3	LINC00324
ENST00000315792.5	TCIM
ENST00000316985.7	NSD3
ENST00000317702.10	TUBB6
ENST00000317995.5	CA8
ENST00000318121.8	CLSPN
ENST00000318238.9	SAMD9L
ENST00000318753.13	LRRC75B
ENST00000319170.10	RAPH1
ENST00000319211.5	F2R
ENST00000319921.4	RNF213
ENST00000319974.6	C2orf69
ENST00000320717.8	GLS
ENST00000320955.8	SPTBN5
ENST00000321764.4	CA13
ENST00000322475.12	FAM124A
ENST00000323557.11	FBXO9
ENST00000324460.7	HSPA5
ENST00000327773.7	GAS6
ENST00000327857.7	DEFA3
ENST00000328089.11	SPSB1
ENST00000328194.8	DENND5A
ENST00000328459.11	TTC7B
ENST00000328631.10	IP6K2
ENST00000328933.10	SYNGR1
ENST00000329421.8	MARCKSL1
ENST00000329565.6	SNN
ENST00000330368.3	ACTRT3
ENST00000330539.1	AC138356.1
ENST00000330651.11	MAPK11
ENST00000330843.9	RAB11FIP1
ENST00000331163.11	PDGFB
ENST00000331238.7	RTN4RL1
ENST00000331569.6	ZNF703
ENST00000332345.10	LIMS1
ENST00000332624.8	TRAK2
ENST00000333055.8	MGAT1
ENST00000333244.6	AHNAK2
ENST00000333437.5	TEX19
ENST00000334077.6	TAL2
ENST00000334304.10	ADGRA3
ENST00000334464.7	PDZD8
ENST00000335999.7	NCKAP5L
ENST00000336498.8	ARHGAP10
ENST00000337190.7	MXD4
ENST00000337231.5	CDR2L
ENST00000337908.5	MS4A4A
ENST00000338379.5	H1-6 
ENST00000338863.12	TEAD3
ENST00000339766.8	CLEC2A
ENST00000340258.10	RASSF4
ENST00000341376.10	NFYA
ENST00000341700.7	GNA14
ENST00000341893.8	CEP97
ENST00000343307.5	B3GLCT
ENST00000347230.9	ZFYVE26
ENST00000348956.7	CKB
ENST00000349533.10	LEPR
ENST00000354480.2	RBM3
ENST00000355303.9	ANO1
ENST00000355417.7	CCDC69 
ENST00000355537.4	 ZNF536
ENST00000355689.6	TTC30A
ENST00000356736.5	SLC39A8
ENST00000356956.5	IGF2R
ENST00000357085.5	TRIM38
ENST00000358671.9	FCGR2B
ENST00000359062.3	PDE3A
ENST00000359172.3	AHCYL1
ENST00000359195.3	PIK3CG
ENST00000359314.5	CD2AP
ENST00000359534.4	KCNK5
ENST00000360314.7	CASS4
ENST00000360467.7	COL4A2
ENST00000361131.5	PPP1R14C
ENST00000361357.7	MAP3K3
ENST00000362003.9	PCGF3
ENST00000366844.7	ENAH
ENST00000367089.8	DYNLT1
ENST00000367097.8	TULP4
ENST00000367145.4	SLC45A3
ENST00000367351.4	ULBP2
ENST00000367463.5	UST
ENST00000367651.4	CITED2
ENST00000367771.11	SCYL3
ENST00000367948.6	FCRLB
ENST00000368468.4	MAN1A1 
ENST00000368671.4	CLRN3
ENST00000368985.8	CTSS
ENST00000369682.4	PLXNA3
ENST00000369800.6	NEURL1B
ENST00000370466.4	GBP2
ENST00000370708.8	ZNF451
ENST00000370747.9	IFI44
ENST00000370765.10	DST
ENST00000370982.4	GNG12
ENST00000371222.4	JUN
ENST00000371571.5	KCNG1
ENST00000371634.7	C8G
ENST00000371795.5	IFIT5
ENST00000372014.5	MRPL14
ENST00000372336.4	ZCCHC24
ENST00000372733.3	SDC4
ENST00000372808.4	GNMT
ENST00000372836.5	CNPY3
ENST00000372876.2	TBCC
ENST00000373491.3	TBC1D22B
ENST00000373548.8	HDAC1
ENST00000373620.7	DENND1A
ENST00000373699.6	PPIL1
ENST00000373731.7	KCTD20
ENST00000373943.9	STX12
ENST00000373960.4	DES
ENST00000374139.6	DRGX
ENST00000374148.1	TMEM273
ENST00000374151.7	TMEM273
ENST00000374213.3	CD52
ENST00000374282.8	PAFAH2
ENST00000374692.8	TMEM38B
ENST00000374759.8	SLC38A10
ENST00000374975.4	 HLA-DRB5
ENST00000375078.4	CAMK2N1
ENST00000375377.2	JCAD
ENST00000376350.8	PTPRH
ENST00000376729.10	WDR13
ENST00000376752.8	PCSK5
ENST00000376755.1	RBM3
ENST00000377102.5	SPRY2
ENST00000377443.7	CA6
ENST00000377793.9	NAA40
ENST00000378230.8	CEP104
ENST00000378827.5	BMP2
ENST00000379561.6	FOXO1
ENST00000379965.8	TRIM22
ENST00000379999.6	FBH1
ENST00000380605.3	CPXM1
ENST00000380615.8	KATNAL1
ENST00000380659.4	TLR7
ENST00000380861.8	WWWC3
ENST00000380872.9	AKR1C1
ENST00000381318.8	EST
ENST00000381440.4	ITPRIPL2
ENST00000382363.8	RNF215
ENST00000383925.1	RNU1-1
ENST00000388995.11	FAM83G
ENST00000389131.8	LOXL2
ENST00000389567.9	ESYT3
ENST00000389617.9	GXYLT2
ENST00000391911.5	LAMB3
ENST00000392583.6	OAS2
ENST00000392621.6	CD300LB
ENST00000393310.5	LIMS1
ENST00000393409.2	PLXNA1
ENST00000393567.7	HYDIN
ENST00000394142.7	CNPY3
ENST00000394253.7	USP49
ENST00000394323.3	ERV3
ENST00000395297.6	FAM135B
ENST00000395384.9	QPRT
ENST00000395925.8	GLI3
ENST00000396184.7	PDE1C
ENST00000396776.6	GAPT
ENST00000396987.7	GPAT4
ENST00000397536.6	CCDC9B
ENST00000397558.6	BICDL1
ENST00000399429.8	COL28A1
ENST00000400256.5	COLEC12
ENST00000403714.8	EFR3B
ENST00000404377.3	TNFSF18
ENST00000405755.6	CCDS
ENST00000407479.5	DNASE1
ENST00000409085.9	AAK1
ENST00000409223.2	KLHL30
ENST00000415237.1	SUGCT 
ENST00000417443.3	SMIM10L2A
ENST00000422989.5	IRGQ
ENST00000424970.6	SLC39A8
ENST00000425611.7	NABP1
ENST00000426775.1	AL031429.1
ENST00000427522.6	HELZ2 
ENST00000429530.1	SCAT8
ENST00000430050.2	LINC02181
ENST00000432648.8	AKIRIN1
ENST00000433230.1	Z97056.1
ENST00000433688.2	C11orf95
ENST00000433765.3	CHRM4-201 
ENST00000434344.2	CASS4
ENST00000434837.8	MDGA1
ENST00000437601.2	LINC01132
ENST00000440804.7	SIGLEC9
ENST00000441178.2	RPEL1
ENST00000442561.7	LAX1
ENST00000443171.6	ZNF341
ENST00000446192.2	AC073342.1
ENST00000446378.3	CMYA5
ENST00000447544.7	CD36
ENST00000448698.1	ENST00000448698.1
ENST00000449457.1	LINC02561
