Gene	L_la_1	L_la_2	L_la_3	L_la_4	E_la_1	E_la_2	E_la_3	E_la_4	BL_la_1	BL_la_2	BL_la_3	BL_la_4	L_bs_1	L_bs_2	L_bs_3	L_bs_4	E_bs_1	E_bs_2	E_bs_3	E_bs_4	BL_bs_1	BL_bs_2	BL_bs_3	BL_bs_4	L_ao_1	L_ao_2	L_ao_3	L_ao_4	E_ao_1	E_ao_2	E_ao_3	E_ao_4	BL_ao_1	BL_ao_2	BL_ao_3	BL_ao_4
Acvrl1	0	0	0	3.38531619337734	14.0798121830849	53.5007304090031	5.45541634235337	1.88540220383948	3.60060343251331	1.42334109861347	1.24351349627458	1.97428213613094	72.3472357464173	62.8244373359336	79.6137437205765	102.222111569171	65.8499976646976	51.5563164636931	90.6750073880661	74.5686765002811	102.097604210954	111.163698179903	84.9169278531592	113.24869478433	71.8472839466002	122.460321577175	138.908697775782	172.230939514116	141.208509085959	114.306721994438	170.194767376546	62.4068874641763	69.2809631122763	72.9637223677075	211.787305752952	364.65476394048
Adrbk2	0	2.01044843858982	1.89073542311606	0	15.6442357589832	149.802045145209	2.72770817117669	1.88540220383948	4.15454242213074	1.42334109861347	3.41966211475509	4.19534953927825	483.584154726052	836.707279064934	571.449760483249	932.515997375904	880.92663542551	683.451682352034	696.384056740348	743.201142452802	899.139567751138	906.908060085117	1249.70019574456	734.280814062987	135.072893819608	189.521926250389	131.045941297907	129.173204635587	312.562654943079	292.361423562697	124.077475571288	372.754652150891	121.71714303647	96.6532426169632	367.207447442458	419.709213203252
Ccl2	3.73386517512773	2.01044843858982	9.45367711558029	1.69265809668867	17.2086593348815	170.01343218861	207.305821009428	135.748958676442	13.0175662560097	5.33752911980053	9.01547284799069	1.72749686911457	1.90387462490572	17.1339374552546	15.9227487441153	20.8616554222797	62.9233311018221	13.2195683240239	30.8295025119425	37.2843382501406	10.4366439860087	13.785471805951	13.1202120288143	4.236235465748	747.211753044642	2641.64407973619	3447.81871554794	3006.44301769494	3090.72107527471	1239.78829240121	2031.35690094587	635.875583080932	401.01451589694	461.787714725491	276.363280116902	1094.28814152299
Ccl7	0	0	1.89073542311606	1.69265809668867	0	49.9340150484029	70.9204124505939	65.9890771343817	3.87757292732202	1.42334109861347	2.17614861848051	4.19534953927825	0	0	0	0	0	0	0	0	0	0	0	0	867.91519007493	1696.95017042656	2786.03671199351	2475.81975551542	2421.17061646263	960.616105991718	1336.3034315952	839.96297181513	225.231052627753	154.139811755157	12.0395884407363	849.781616855968
Ccr2	20.5362584632025	22.114932824488	13.2351479618124	11.8486066768207	2889.49034468419	3986.39886803083	171.845614784131	86.728501376616	40.1605767472638	40.565221310484	24.2485131773543	41.4599248587498	6301.82500843793	3952.22823967873	3524.23505536418	3485.98262106294	3589.55653936674	2238.07291725724	4049.54582995103	3493.54249403817	4142.44012818579	4656.84969921455	3015.09761428835	6766.96253298586	1925.50720976889	828.065031617085	1147.96244576967	1138.49716634699	748.881081894077	501.191011821766	850.973836882728	1211.03095133185	1685.83676906539	1302.29189316908	1494.00347469137	2586.91141594721
Cd226	1.86693258756387	8.04179375435927	1.89073542311606	0	78.2211787949159	378.071828223622	13.6385408558834	13.1978154268763	2.21575595846973	2.49084692257358	1.86527024441187	0	38.0774924981144	22.8452499403395	22.9995259637221	54.2403040979273	83.4099970419503	80.6393667765456	21.7620017731359	43.498394625164	26.3184935299349	23.4646328611932	28.2449008953641	34.1722994237005	281.641353070673	84.5559363270967	44.5556200412885	74.7178340539182	7.93306230819996	74.7390105348247	64.7838146788141	187.220662392529	246.694566689988	285.537684071029	226.563164293856	978.99764777271
Cd74	126.951415954343	492.559867454505	438.650618162926	330.06832885429	8172.54876049281	23854.1923316942	935.603902713604	688.17180440141	634.26014311196	532.32957088144	1135.32782209869	133.757614722871	2265.61080363781	3081.25308570329	2036.34264494186	3206.4364384044	4128.06318693582	4277.85230965412	2934.24323907782	2805.02504768558	3228.55312871529	3169.77859163643	5273.41410974801	1361.24366299369	32368.6383636223	16294.51207462	21475.808859901	19296.1972454161	14135.1304207507	12481.4147593157	11007.7583416121	11997.3024468294	20304.7559929254	21087.4633450774	26372.7184794329	17226.5371743215
Ciita	3.73386517512773	20.1044843858982	18.9073542311606	5.07797429006601	159.571204741628	422.061317671024	24.5493735405902	22.6248264460737	19.1108951418014	13.521740436828	21.4506078107365	2.96142320419641	258.926948987178	134.215843399495	125.612795648021	183.582567716062	199.01332627553	232.66440250282	179.536514628371	152.865786825576	165.851885951573	201.209226784732	286.822412963246	80.488473849212	554.661032067754	258.041391894761	224.088559619421	220.354290260708	244.338319092559	347.316578367715	233.880551298092	195.654025563364	496.106033894182	228.998695742805	374.869003722926	1188.20455497124
Clec12a	3.73386517512773	0	7.56294169246424	15.233922870198	284.725090813494	99.8680300968058	16.3662490270601	9.42701101919739	21.3266511002711	16.368422634055	15.8547970775009	11.3521222827529	662.54836946719	819.573341609679	919.981038548883	794.829071588858	945.31329980877	687.417552849241	732.654059695574	709.645238027676	790.008573027874	708.045296586504	637.605859566961	796.977098956057	508.678770341929	975.308989703926	816.416214285962	794.035287318757	928.168290059396	736.399074387244	451.290641237163	1013.69025313432	383.082972503175	523.064607103566	393.475640404064	276.243795418499
Clec4a2	0	8.04179375435927	9.45367711558029	6.77063238675468	128.282733223662	166.44671682801	10.9108326847067	5.65620661151844	10.2478713079225	8.89588186633422	4.04141886289238	4.93570534032735	371.255551856615	359.812686560347	521.912319946001	281.632348200777	365.833320359431	161.278733553091	250.263020391062	285.846593251078	211.455482499132	272.776357011371	171.838332544054	320.259401210549	770.202883907554	438.816152318209	496.664117519068	553.418533585801	487.090025723478	182.45111395266	637.955869972729	394.681396395061	644.177111918459	397.668079917506	355.167859001721	382.142647823949
