Gene	L_la_1	L_la_2	L_la_3	L_la_4	E_la_1	E_la_2	E_la_3	E_la_4	BL_la_1	BL_la_2	BL_la_3	BL_la_4	L_bs_1	L_bs_2	L_bs_3	L_bs_4	E_bs_1	E_bs_2	E_bs_3	E_bs_4	BL_bs_1	BL_bs_2	BL_bs_3	BL_bs_4	L_ao_1	L_ao_2	L_ao_3	L_ao_4	E_ao_1	E_ao_2	E_ao_3	E_ao_4	BL_ao_1	BL_ao_2	BL_ao_3	BL_ao_4
1700025G04Rik	7.46773035025546	14.0731390701287	5.67220626934818	10.155948580132	90.7365674021025	153.368760505809	30.0047898829436	22.6248264460737	10.5248408027312	13.1659051621746	13.989526833089	14.3135454869493	49.5007402475487	68.5357498210185	42.4606633176408	52.1541385556994	71.7033307904485	92.536978268167	65.2860053194076	88.2396005253327	85.9888711021149	80.3663675495867	84.1880271848917	68.9094302428341	114.95565431456	128.291765461802	96.9739965604514	67.1194102518248	52.3582112341198	92.3246600724305	79.0582145232986	26.9867621466708	205.125988822622	222.681490343004	1.09450804006694	400.602080812055
A530064D06Rik	3.73386517512773	8.04179375435927	7.56294169246424	1.69265809668867	104.816379585187	171.20233730881	2.72770817117669	9.42701101919739	16.3412001937142	7.82837604237411	8.39371609985341	10.8585517487202	62.8278626218887	82.8140310337307	88.459715245085	79.274290604663	133.163328610833	81.9613236089479	87.0480070925435	70.8402426752671	115.483734540835	87.9923732294745	83.823576850758	155.61104944181	0	14.5786097115684	44.5556200412885	15.1968476041867	0	0	2.19606151453607	0	10.595912005407	46.1155994185511	0.547254020033469	0
Actb	22830.7186133185	25731.7295655111	22306.8965219233	24922.697815644	30041.6259279754	33101.4963566103	34595.5227350339	29976.0096388439	34499.5972428685	34568.6852620255	30372.8171465066	32156.3670774997	32622.8916977595	32834.3354767529	35666.9571868183	31720.1470695763	33460.578813355	28915.1617951374	31861.3840960187	27851.400672855	32908.5535564046	34176.2377623279	29156.5734061996	37647.9894154979	29428.6475045274	19070.2793637026	26048.001751785	25171.0452484013	20822.7019465633	20856.5803516005	15119.8835275809	16183.6239248317	27745.8031212352	26722.4105617004	27383.4966544347	23646.5336577638
Actg1	1282.58268765638	1260.55117099582	1174.14669775507	1167.93408671518	1486.2023971034	2587.05754155535	1740.27781321073	1630.87290632115	1160.77915274333	1123.37196208068	1174.80937560541	965.177179301014	2164.7054485178	2558.66799331802	2666.17581748686	2459.58917428678	2219.87658794103	1957.81806878793	2596.93221159421	2136.39258173306	2688.5702442218	2977.95521799618	2435.25713268159	2587.77503817659	2284.74362950189	2041.00535961958	2955.08597626781	2546.7383776683	1870.61609227355	2167.43130550992	1091.44257272443	1595.59231192191	2085.76452475665	1973.179106628	2108.02248516892	2099.84146482245
Acvrl1	0	0	0	3.38531619337734	14.0798121830849	53.5007304090031	5.45541634235337	1.88540220383948	3.60060343251331	1.42334109861347	1.24351349627458	1.97428213613094	72.3472357464173	62.8244373359336	79.6137437205765	102.222111569171	65.8499976646976	51.5563164636931	90.6750073880661	74.5686765002811	102.097604210954	111.163698179903	84.9169278531592	113.24869478433	71.8472839466002	122.460321577175	138.908697775782	172.230939514116	141.208509085959	114.306721994438	170.194767376546	62.4068874641763	69.2809631122763	72.9637223677075	211.787305752952	364.65476394048
Adam19	0	10.0522421929491	3.78147084623212	1.69265809668867	75.0923316431193	53.5007304090031	13.6385408558834	13.1978154268763	8.03211534945276	4.62585857049379	8.39371609985341	0.740355801049103	68.5394864966059	168.483718310004	74.3061608058714	87.6189527735749	89.2633301677012	92.536978268167	65.2860053194076	94.4536569003561	106.862159074132	121.72278296744	116.441881755727	59.0248808227555	387.975333311641	443.189735231679	318.441637353915	329.265031424046	525.168724802838	244.000887334281	562.191747721234	387.934705858393	759.645383772253	613.400644320727	609.093724297251	475.735211570662
Adrbk2	0	2.01044843858982	1.89073542311606	0	15.6442357589832	149.802045145209	2.72770817117669	1.88540220383948	4.15454242213074	1.42334109861347	3.41966211475509	4.19534953927825	483.584154726052	836.707279064934	571.449760483249	932.515997375904	880.92663542551	683.451682352034	696.384056740348	743.201142452802	899.139567751138	906.908060085117	1249.70019574456	734.280814062987	135.072893819608	189.521926250389	131.045941297907	129.173204635587	312.562654943079	292.361423562697	124.077475571288	372.754652150891	121.71714303647	96.6532426169632	367.207447442458	419.709213203252
Apoe	18.6693258756387	18.0940359473083	15.1258833849285	11.8486066768207	347.302033849427	59.4452560100034	27.2770817117669	33.9372396691106	20.7727121106537	17.7917637326684	24.8702699254916	23.6913856335713	7.61549849962287	25.7009061828819	30.0763031833289	31.2924831334196	124.383328922207	34.370877642462	38.0835031029878	23.613414225089	34.259418301898	20.2382458427791	34.6227817427044	19.7690988401573	344.866962943681	81.640214384783	123.183184820033	127.906800668572	211.019457398119	301.1542483315	92.234583610515	118.067084391685	98.3517986142902	8.84408755972213	7.66155628046856	115.938193153368
Arpc1b	1325.52213717034	1463.60646329339	1385.90906514407	1518.31431272974	2188.62858268175	2201.85228261053	1663.90198441778	1736.45542973616	1307.57298499195	1389.18091224675	1327.45065727311	1501.19477926056	1603.06243417061	1636.29102697682	1700.19572701053	1641.81228173342	1952.08659743792	1624.68494702253	1844.32965027326	1751.1210864816	1667.36731854734	1758.96754085719	1681.39161652596	2208.77317184101	1051.84423697823	801.823534136262	1155.82520224754	1046.04967675485	1427.95121547599	1604.69052030653	1256.14718631463	1430.29839377355	2132.49521360101	1821.25031676278	1614.94661311877	1745.87374103297
Atf3	82.1450338528101	64.3343500348741	73.7386815015263	64.3210076741694	123.589462495967	601.585990821235	441.888723730623	260.185504129848	157.872612040968	79.7071015223546	47.8752696065713	74.2823653719267	99.0014804950974	422.637123896281	495.374405372476	755.191926286527	575.089979605026	338.420949095011	473.323538565705	475.996718326795	160.633563958568	549.072408951921	293.382518977653	134.147456415353	3793.53659238049	4917.36505571202	3172.62223882233	3953.71318502259	9545.0605692262	4923.98187052963	5821.75907503512	4616.42299971488	440.13788330152	803.548526854753	530.289145412431	2130.60718646929
